lang_name			Español
play				Jugar
instructions		Instrucciones
options				Opciones
more				Más...
exit				Salir
new_game			Nuevo Juego
continue			Continuar
no_saved_games		Ningún juego guardado
back				Volver
previous			Anterior
next				Próximo
instructions_0		ConnecMan es un juego de puzzle muy fácil de aprender. El juego básico es conectar azulejos de mismo color y símbolo a través de las líneas de energía. Las 'líneas de energía' pueden estar formadas por hasta tres segmentos, como se muestra a continuación:
instructions_1		Uno de los atractivos de ConnecMan es que se puede encontrar una gran variedad de piezas en todo el juego. Además de las partes comunes (rojo, azul o verde), tenemos los bloques de piedra, que bloquean 'líneas de energía', y los bloques de hielo, que también bloquean, pero se pueden fundir con la energía de una conexión hecha en las proximidades (ver abajo).
instructions_2		Otros tipos de piezas que se pueden combinar: algunos son más resistentes, necesidad de estar conectado dos veces para ser eliminado, otros se pueden mover en ciertas direcciones, indicadas por pequeñas flechas amarillas. También hay piezas de metal, que valen más puntos, pero pierden su valor con el tiempo (ver imagen de abajo):
instructions_3		ConnecMan contiene 25 desafiantes niveles, distribuidos en cinco escenas increíbles. Normalmente, el objetivo de cada nivel es la eliminación de todas las partes que se pueden conectar. Sin embargo, el último nivel de cada escenario, su objetivo será formar, con las piezas blancas (que se muestra a continuación), las palabras Nisled - leer más sobre Nisled en el 'Acerca de' del menú 'Más...'. Para ello, las piezas deben estar conectadas en orden.
instructions_4		Para hacer el juego más interesante, en algunos niveles se puede disponer de elementos que le ayudarán en el cumplimiento de la meta. Hay tres elementos diferentes, cada uno con una función. ¡Explora 25 niveles de ConnecMan para descubrir la utilidad de cada uno!
instructions_5		Cuando jugando ConnecMan, no es necesario preocuparse de olvidarse de guardar el juego: cuando clicar en 'Salir', el juego automáticamente te pregunta si quieres grabarlo.\n\nEn la pantalla de Status, usted puede monitorear su progreso a lo largo de la aventura. Las letras y números Nisled que ha descubierto se muestran en la parte inferior de la pantalla de la siguiente manera:
instructions_6		CONTROLES\nEn el menú Opciones, puede cambiar entre los controles del ratón y el teclado. En el caso del ratón, todos los comandos en el juego - incluyendo menús de navegación - se realizan con simples clics con el botón izquierdo. Para el teclado, a ver qué teclas se usan:\n- Direccionales (flechas) para navegar entre los elementos de menú y para mover el cursor en la pantalla principal del juego.\n- Barra espaciadora: Para llevar a cabo todas las acciones, tanto en los menús (elegir una) cuanto en el Juego (seleccionar una sola pieza, utilizar un elemento).\n- Tab: se utiliza para cambiar entre la pantalla del juego y el panel, situado en la parte inferior, y para cambiar el foco entre el campo de texto y los botones de menú de guardar juego.
instructions_7		TECLAS DE ACCESO\nTambién en el menú Opciones, puede activarlos o desactivarlos. Cuando se activa, echa un vistazo a sus funciones:\n- C: cambia automáticamente el tipo de control (ratón o teclado).\n- P: Pausa el juego, abre el menú.\n- R: Reinicia la fase actual.\n- W: usa, si posible, un elemento 'Transmisor de Onda'.\n- H: usa, si posible, un elemento 'Reloj de Arena'.\n- D: usa, si posible, un elemento 'Dinamita'.\n\nUsted también puede utilizar Alt+Enter para cambiar entre ventana y pantalla completa en cualquier momento.
instructions_8		Aventurero bravo, aquí termina tu tutorial sobre ConnecMan. Ahora bien, es sólo en su viaje por las islas de Nisland, a desafiar a su cerebro en 25 emocionantes niveles!
save				Guardar
cancel				Cancelar
on					Sí
off					No
general				General
language			Idioma
shortcut_keys		Teclas de atajo
controls			Controles
mouse				Ratón
keyboard			Teclado
audio_graphics		Audio/Gráficos
full_screen			Pantalla completa
music_volume		Volumen de la música
sound_volume		Volumen de los sonidos
about				Acerca de
hall_of_fame		Salón de la Fama
credits				Créditos
about_0				ConnecMan es un explorador que decidió hacer un recorrido por las misteriosas islas de Nisland. Allí se encuentra la huella de una antigua civilización, que al parecer había una rica cultura, que fue escrita en extraños cristales. Su objetivo es desentrañar los misterios de esa civilización y descifrar el lenguaje, que él llamó 'Nisled.'
about_1				Continuando el estudio de las piezas de cristal, que emanaban una energía fuerte, ConnecMan se da cuenta de que el lenguaje es muy interesante: tiene un alfabeto propio, así como los símbolos más complejos, que a menudo se utiliza para representar, por sí mismo, una palabra.
about_2				En cada cristal tiene una letra o un número Nisled registrados, y combinandose cristales iguales, una grande energía es puesta en libertad, que contiene una porción de los conocimientos dejados por esa civilización. Así ConnecMan decide viajar por las distintas islas en busca de más conocimiento, combinando todas las piezas de cristal que encuentre. Y aquí viene tu parte en esta historia: ayudar ConnecMan a descifrar los rompecabezas y aprender Nisled, este lenguaje inusual, ¡usted también!
no_players			Ningún jugador en el Salón de la Fama
credits_info		Diseño, programación, gráficos y música de:\nVictor David Santos\n\nAgradecimientos especiales:\nJoão Carlos dos Santos\nNathália David Santos\nYuri David Santos\nZuleica Hiromi Alves\n\nEn memória de\nLuiz Carlos dos Santos
world_1				Isla de Hard Rock
world_2				Isla de Cielo Nublado
world_3				Isla de Lago Frío
world_4				Isla de Volcaña
world_5				Isla de los Cuatro Pilares
player				JUGADOR: 
score				PUNTOS: 
status				STATUS
